recordingId,frame,uniqueTrackId,class,width,length,sceneId,roadWidth,sceneX,sceneY,sceneXVelocity,sceneYVelocity,sceneXAcceleration,sceneYAcceleration
18,4179,18080,car,1.70458,4.017,231,6.0,-7.202102777855106,-1.3431554432051853,-2.3222400347881056,-0.05123154133390928,0.14088825533609128,0.040602487712038116
18,4181,18080,car,1.70458,4.017,231,6.0,-6.735006711793443,-1.3331277281255702,-2.3354803303083127,-0.050138575398075425,0.06620147760103556,-0.005464829679169281
18,4183,18080,car,1.70458,4.017,231,6.0,-6.26815722412155,-1.3250907162126,-2.3342474383594647,-0.04018505956485119,-0.0061644597442400695,-0.04976757916612118
18,4185,18080,car,1.70458,4.017,231,6.0,-5.801773487103451,-1.3187844776321254,-2.331918685090497,-0.03153119290237316,-0.011643766344837658,-0.043269333312390135
18,4187,18080,car,1.70458,4.017,231,6.0,-5.3353377812763565,-1.312348241963644,-2.3321785291354713,-0.032181178342406414,0.001299220224870723,0.0032499272001662582
18,4189,18080,car,1.70458,4.017,231,6.0,-4.871124401538078,-1.3081575055169319,-2.3210668986913907,-0.020953682233560977,-0.055558152220402945,-0.05613748054422718
18,4191,18080,car,1.70458,4.017,231,6.0,-4.415942832043088,-1.306031642850688,-2.2759078474749517,-0.010629313331219636,-0.2257952560821952,-0.051621844511706705
18,4193,18080,car,1.70458,4.017,231,6.0,-3.970625410179694,-1.303850178906819,-2.226587109316971,-0.010907319719344333,-0.24660369078990385,0.0013900319406234818
18,4195,18080,car,1.70458,4.017,231,6.0,-3.528502341886258,-1.2996916956737021,-2.210615341467179,-0.020792416165584804,-0.07985883924895854,0.049425482231202356
18,4197,18080,car,1.70458,4.017,231,6.0,-3.0905870511091633,-1.295929581426547,-2.1895764538854734,-0.018810571235775564,-0.105194437908529,-0.0099092246490462
18,4199,18080,car,1.70458,4.017,231,6.0,-2.6578066989267475,-1.2898454409890063,-2.163901760912079,-0.03042070218770343,-0.128373464866971,0.05805065475963933
18,4201,18080,car,1.70458,4.017,231,6.0,-2.2253641654500975,-1.2844985783295289,-2.16221266738325,-0.026734313297387402,-0.008445467644146998,-0.01843194445158014
18,4203,18080,car,1.70458,4.017,231,6.0,-1.7930036404013916,-1.2776327441042485,-2.1618026252435296,-0.03432917112640155,-0.002050210698600896,0.03797428914507073
18,4205,18080,car,1.70458,4.017,231,6.0,-1.3619205886895314,-1.2713223933383517,-2.155415258559301,-0.03155175382948405,-0.031936833421142286,-0.013887086484587474
18,4207,18080,car,1.70458,4.017,231,6.0,-0.9323750259378276,-1.2653558851198436,-2.1477278137585185,-0.02983254109254041,-0.03843722400391325,-0.008596063684718214
18,4209,18080,car,1.70458,4.017,231,6.0,-0.50419074199975,-1.2587267156065851,-2.140921419690388,-0.033145847566292685,-0.034031970340653306,0.016566532368761377
18,4211,18080,car,1.70458,4.017,231,6.0,-0.07901837389421795,-1.2524119709932127,-2.12586184052766,-0.031573723066862236,-0.07529789581363966,-0.007860622497152248
18,4213,18080,car,1.70458,4.017,231,6.0,0.3444166546549046,-1.2499581784989153,-2.1171751427456127,-0.012268962471486677,-0.04343348891023613,-0.09652380297687779
18,4215,18080,car,1.70458,4.017,231,6.0,0.7646207988567244,-1.2485820623634276,-2.1010207210090988,-0.006880580677438575,-0.08077210868256968,-0.026941908970240513
18,4217,18080,car,1.70458,4.017,231,6.0,1.17749202658538,-1.24817302223203,-2.0643561386432783,-0.002045200656988211,-0.18332291182910243,-0.02417690010225182
18,4219,18080,car,1.70458,4.017,231,6.0,1.57740903388714,-1.2471946200618536,-1.9995850365087997,-0.004892010850882089,-0.3238555106723928,0.014234050969469392
18,4221,18080,car,1.70458,4.017,231,6.0,1.9710849951633072,-1.247092085750713,-1.9683798063808355,-0.0005126715557024486,-0.15602615063982084,-0.021896696475898203
18,4223,18080,car,1.70458,4.017,231,6.0,2.3586147984457977,-1.2487864492988712,-1.9376490164124527,0.008471817740790533,-0.15365394984191427,-0.044922446482464906
18,4225,18080,car,1.70458,4.017,231,6.0,2.741545432673973,-1.2530146131567965,-1.9146531711408765,0.021140819289626744,-0.11497922635788083,-0.06334500774418106
18,4227,18080,car,1.70458,4.017,231,6.0,3.1167923556064348,-1.2590604075393965,-1.8762346146623088,0.030228971913000002,-0.19209278239283867,-0.04544076311686629
18,4229,18080,car,1.70458,4.017,231,6.0,3.483742734551928,-1.2667326882798327,-1.8347518947274666,0.03836140370218066,-0.20741359967421102,-0.040662158945903304
18,4231,18080,car,1.70458,4.017,231,6.0,3.8403260410159463,-1.2759037379029816,-1.7829165323200913,0.04585524811574482,-0.2591768120368765,-0.03746922206782077
18,4233,18080,car,1.70458,4.017,231,6.0,4.188590402462522,-1.286110767157643,-1.7413218072328762,0.051035146273307186,-0.20797362543607534,-0.02589949078781184
18,4235,18080,car,1.70458,4.017,231,6.0,4.528079696900818,-1.3008115141382144,-1.6974464721914817,0.07350373490285667,-0.21937667520697257,-0.1123429431477474
18,4237,18080,car,1.70458,4.017,231,6.0,4.860932927506929,-1.318965658983938,-1.6642661530305558,0.0907707242286182,-0.1659015958046295,-0.0863349466288077
18,4239,18080,car,1.70458,4.017,231,6.0,5.184845534567517,-1.340168844763698,-1.6195630353029378,0.1060159288987994,-0.22351558863809018,-0.076226023350906
18,4241,18080,car,1.70458,4.017,231,6.0,5.496976517762869,-1.3651161377932595,-1.5606549159767624,0.12473646514780778,-0.2945405966308767,-0.0936026812450419
18,4243,18080,car,1.70458,4.017,231,6.0,5.801427812706026,-1.3934334736043124,-1.5222564747157863,0.14158667905526445,-0.19199220630488067,-0.08425106953728334
18,4245,18080,car,1.70458,4.017,231,6.0,6.091648121646051,-1.4252911395382095,-1.4511015447001219,0.1592883296694858,-0.3557746500783221,-0.08850825307110677
18,4247,18080,car,1.70458,4.017,231,6.0,6.373622294279463,-1.460130857787675,-1.409870863167062,0.17419859124732762,-0.20615340766529933,-0.07455130788920905
18,4249,18080,car,1.70458,4.017,231,6.0,6.646585410782251,-1.4986807064136474,-1.3648155825139385,0.19274924312986164,-0.22527640326561738,-0.0927532594126701
18,4251,18080,car,1.70458,4.017,231,6.0,6.9127657138483976,-1.5404314364625542,-1.3309015153307335,0.20875365024453418,-0.169570335916025,-0.08002203557336274
18,4253,18080,car,1.70458,4.017,231,6.0,7.172075353510306,-1.5825047876294172,-1.2965481983095417,0.21036675583431474,-0.1717665851059591,-0.008065527948902806
