uniqueTrackId,initialFrame,finalFrame,numFrames,class,horizontalDirection,verticalDirection
18001,236,570,168,pedestrian,WEST,SOUTH
18087,5154,5366,107,pedestrian,WEST,SOUTH
18209,14003,14323,161,pedestrian,WEST,SOUTH
18365,24194,24362,85,pedestrian,EAST,NORTH
19072,4534,4756,112,pedestrian,WEST,SOUTH
19075,4429,4675,124,pedestrian,EAST,SOUTH
19081,4711,4787,39,pedestrian,WEST,SOUTH
19125,8340,8428,45,pedestrian,WEST,SOUTH
19343,23442,23676,118,pedestrian,WEST,SOUTH
20223,13724,13950,114,pedestrian,WEST,SOUTH
20228,13586,13800,108,pedestrian,EAST,NORTH
20256,15373,15583,106,pedestrian,EAST,NORTH
20259,15492,15626,68,pedestrian,EAST,NORTH
20274,17374,17472,50,pedestrian,WEST,SOUTH
20276,17377,17531,78,pedestrian,WEST,SOUTH
20283,17830,17904,38,pedestrian,EAST,SOUTH
20287,17911,18005,48,pedestrian,EAST,SOUTH
20325,20613,20759,74,pedestrian,EAST,SOUTH
20402,26385,26695,156,pedestrian,EAST,NORTH
21110,4682,4838,79,pedestrian,EAST,SOUTH
21358,20340,20548,105,pedestrian,EAST,SOUTH
21359,20337,20495,80,pedestrian,EAST,SOUTH
21437,24920,25346,214,pedestrian,WEST,SOUTH
21442,25433,25633,101,pedestrian,WEST,SOUTH
22014,190,432,122,pedestrian,EAST,NORTH
22033,148,384,119,pedestrian,EAST,NORTH
22313,17032,17308,139,pedestrian,WEST,SOUTH
23395,20565,20781,109,pedestrian,EAST,NORTH
23437,22755,22967,107,pedestrian,EAST,NORTH
24211,10218,10408,96,pedestrian,WEST,SOUTH
25288,16661,16847,94,pedestrian,WEST,SOUTH
25331,18329,18449,61,pedestrian,EAST,SOUTH
25445,25425,25821,199,pedestrian,WEST,SOUTH
25472,27696,27782,44,pedestrian,WEST,NORTH
25510,29179,29249,36,pedestrian,EAST,NORTH
26116,5037,5175,70,pedestrian,EAST,NORTH
26336,18396,18484,45,pedestrian,EAST,NORTH
26475,27640,27710,36,pedestrian,EAST,NORTH
27301,15965,16135,86,pedestrian,EAST,NORTH
27367,20228,20292,33,pedestrian,WEST,SOUTH
27530,30318,30546,115,pedestrian,WEST,SOUTH
28053,1875,1997,62,pedestrian,WEST,SOUTH
28212,11629,11807,90,pedestrian,WEST,SOUTH
29303,15582,15766,93,pedestrian,WEST,NORTH
29431,22852,22982,66,pedestrian,WEST,NORTH
29580,30478,30704,114,pedestrian,EAST,NORTH
29595,31572,31958,194,pedestrian,EAST,NORTH
29597,31545,31851,154,pedestrian,EAST,NORTH
29600,31767,31925,80,pedestrian,EAST,NORTH
18022,282,440,80,car,EAST,SOUTH
18024,344,504,81,car,EAST,SOUTH
18025,407,585,90,car,EAST,SOUTH
18033,1170,1354,93,car,WEST,NORTH
18036,1165,1305,71,car,EAST,SOUTH
18039,1531,1749,110,car,WEST,NORTH
18046,1530,1774,123,car,EAST,SOUTH
18056,2277,2433,79,car,EAST,SOUTH
18058,2540,2836,149,car,EAST,SOUTH
18062,3109,3209,51,car,WEST,NORTH
18066,3340,3576,119,car,EAST,NORTH
18067,3383,3609,114,car,EAST,SOUTH
18080,4251,4417,84,car,WEST,NORTH
18091,5050,5200,76,car,EAST,SOUTH
18092,5210,5310,51,car,WEST,NORTH
18095,5417,5527,56,car,EAST,SOUTH
18096,5472,5602,66,car,EAST,SOUTH
18106,6359,6545,94,car,WEST,SOUTH
18111,6830,6926,49,car,WEST,NORTH
18113,6604,6768,83,car,EAST,SOUTH
18123,7078,7394,159,car,WEST,SOUTH
18132,7695,7855,81,car,EAST,SOUTH
18133,7736,7902,84,car,EAST,SOUTH
18167,10009,10193,93,car,EAST,SOUTH
18174,10368,10554,94,car,EAST,SOUTH
18175,10661,10817,79,car,EAST,SOUTH
18177,11280,11442,82,car,EAST,NORTH
18187,11865,12011,74,car,EAST,SOUTH
18192,12197,12317,61,car,EAST,SOUTH
18194,12954,13056,52,car,WEST,NORTH
18195,13007,13105,50,car,WEST,NORTH
18206,13338,13470,67,car,EAST,SOUTH
18212,13803,14021,110,car,EAST,SOUTH
18215,13920,14292,187,car,EAST,NORTH
18223,14534,14700,84,car,EAST,SOUTH
18231,14893,15049,79,car,EAST,SOUTH
18233,14940,15102,82,car,EAST,SOUTH
18235,15035,15165,66,car,EAST,SOUTH
18238,15288,15476,95,car,EAST,SOUTH
18240,15473,15619,74,car,EAST,SOUTH
18244,15561,15725,83,car,EAST,SOUTH
18246,15639,15799,81,car,EAST,SOUTH
18247,15871,16031,81,car,WEST,NORTH
18250,16173,16315,72,car,WEST,NORTH
18251,15945,16141,99,car,EAST,NORTH
18252,16265,16425,81,car,WEST,NORTH
18255,16387,16621,118,car,EAST,NORTH
18257,16621,16815,98,car,EAST,NORTH
18264,17238,17396,80,car,EAST,SOUTH
18268,17812,17950,70,car,EAST,SOUTH
18270,17985,18153,85,car,EAST,SOUTH
18271,18099,18243,73,car,EAST,SOUTH
18272,18384,18508,63,car,WEST,NORTH
18276,18339,18455,59,car,EAST,SOUTH
18278,18661,18773,57,car,WEST,NORTH
18282,18724,18842,60,car,WEST,NORTH
18283,18783,18957,88,car,EAST,NORTH
18284,19258,19394,69,car,WEST,NORTH
18289,19553,19663,56,car,EAST,SOUTH
18291,19622,19806,93,car,EAST,NORTH
18292,19704,19888,93,car,EAST,SOUTH
18294,19752,19928,89,car,EAST,SOUTH
18297,19875,20039,83,car,EAST,SOUTH
18301,20160,20324,83,car,WEST,SOUTH
18309,20970,21226,129,car,WEST,NORTH
18310,20503,20665,82,car,EAST,SOUTH
18316,20734,20872,70,car,EAST,SOUTH
18318,21033,21273,121,car,WEST,NORTH
18320,21155,21335,91,car,WEST,NORTH
18323,21009,21227,110,car,EAST,SOUTH
18326,21158,21190,17,car,EAST,SOUTH
18329,21236,21454,110,car,EAST,SOUTH
18330,21306,21514,105,car,EAST,SOUTH
18331,21391,21553,82,car,EAST,SOUTH
18332,21459,21615,79,car,EAST,SOUTH
18336,21896,22092,99,car,EAST,NORTH
18338,22120,22298,90,car,EAST,NORTH
18340,22278,22378,51,car,EAST,SOUTH
18341,22685,22819,68,car,WEST,NORTH
18342,22348,22538,96,car,EAST,NORTH
18345,22898,22976,40,car,WEST,NORTH
18346,23178,23300,62,car,WEST,NORTH
18354,23392,23556,83,car,EAST,SOUTH
18355,23464,23640,89,car,EAST,SOUTH
18357,23790,23892,52,car,WEST,NORTH
18361,23861,23975,58,car,EAST,SOUTH
18362,23928,24066,70,car,EAST,SOUTH
18366,24027,24201,88,car,EAST,SOUTH
18367,24125,24543,210,car,EAST,SOUTH
18368,24196,24628,217,car,EAST,SOUTH
18373,24643,24909,134,car,EAST,NORTH
18374,24718,24956,120,car,WEST,SOUTH
18376,24725,25007,142,car,EAST,NORTH
18380,24784,25030,124,car,EAST,SOUTH
18381,24835,25067,117,car,EAST,SOUTH
18384,25132,25318,94,car,WEST,SOUTH
18395,26198,26398,101,car,EAST,SOUTH
18398,26745,26909,83,car,EAST,SOUTH
18400,26833,26989,79,car,EAST,SOUTH
18402,26880,27048,85,car,EAST,SOUTH
18405,26963,27121,80,car,EAST,SOUTH
18406,27011,27161,76,car,EAST,SOUTH
18407,27071,27217,74,car,EAST,SOUTH
18414,27214,27410,99,car,EAST,SOUTH
18415,27271,27549,140,car,EAST,SOUTH
18416,27346,27628,142,car,EAST,SOUTH
18417,27494,27984,246,car,EAST,SOUTH
18419,27544,27880,169,car,EAST,NORTH
18421,27623,27985,182,car,EAST,SOUTH
18423,27715,27985,136,car,EAST,SOUTH
18003,4,120,59,bicycle,EAST,SOUTH
18027,624,916,147,bicycle,WEST,SOUTH
18030,782,1138,179,bicycle,WEST,SOUTH
18031,816,1170,178,bicycle,WEST,SOUTH
18032,1100,1276,89,bicycle,WEST,NORTH
18041,1276,1440,83,bicycle,EAST,SOUTH
18043,1394,1642,125,bicycle,EAST,NORTH
18057,2562,2742,91,bicycle,WEST,SOUTH
18060,2622,2788,84,bicycle,WEST,SOUTH
18065,3126,3392,134,bicycle,EAST,NORTH
18102,6414,6828,208,bicycle,WEST,SOUTH
18103,6094,6214,61,bicycle,EAST,SOUTH
18105,6306,6452,74,bicycle,EAST,SOUTH
18119,7018,7358,171,bicycle,WEST,SOUTH
18125,7264,7432,85,bicycle,EAST,SOUTH
18129,7552,7692,71,bicycle,EAST,SOUTH
18130,7573,7717,73,bicycle,EAST,SOUTH
18155,9299,9473,88,bicycle,WEST,SOUTH
18169,10061,10427,184,bicycle,EAST,SOUTH
18182,11573,11695,62,bicycle,EAST,SOUTH
18198,13042,13220,90,bicycle,WEST,SOUTH
18205,13334,13448,58,bicycle,EAST,NORTH
18218,14191,14307,59,bicycle,EAST,SOUTH
18221,14213,14329,59,bicycle,EAST,SOUTH
18222,14638,14830,97,bicycle,WEST,NORTH
18241,15689,15863,88,bicycle,WEST,NORTH
18245,15800,15994,98,bicycle,WEST,NORTH
18249,16017,16209,97,bicycle,WEST,NORTH
18258,16680,16864,93,bicycle,EAST,NORTH
18260,16829,16955,64,bicycle,EAST,SOUTH
18266,17779,18021,122,bicycle,WEST,NORTH
18269,17943,18107,83,bicycle,EAST,NORTH
18295,20233,20411,90,bicycle,WEST,NORTH
18371,24615,24771,79,bicycle,WEST,SOUTH
18383,25078,25280,102,bicycle,WEST,SOUTH
18391,25481,25613,67,bicycle,EAST,SOUTH
18393,26078,26210,67,bicycle,EAST,SOUTH
18401,27266,27986,361,bicycle,WEST,NORTH
18410,27149,27333,93,bicycle,EAST,SOUTH
18411,27155,27329,88,bicycle,EAST,SOUTH
19016,236,346,56,car,EAST,SOUTH
19018,340,492,77,car,EAST,SOUTH
19023,1178,1286,55,car,EAST,SOUTH
19025,1258,1438,91,car,EAST,NORTH
19028,1571,1667,49,car,EAST,SOUTH
19036,2503,2631,65,car,WEST,NORTH
19043,1995,2141,74,car,EAST,SOUTH
19048,2171,2445,138,car,EAST,NORTH
19052,2584,2742,80,car,EAST,SOUTH
19061,3166,3260,48,car,WEST,NORTH
19064,3337,3471,68,car,EAST,SOUTH
19067,3657,3771,58,car,WEST,NORTH
19073,4358,4492,68,car,EAST,SOUTH
19077,4533,4673,71,car,EAST,SOUTH
19079,4831,4953,62,car,WEST,NORTH
19083,4753,4893,71,car,EAST,SOUTH
19085,4827,4963,69,car,EAST,SOUTH
19089,5345,5483,70,car,EAST,SOUTH
19092,5439,5553,58,car,EAST,SOUTH
19095,5802,5962,81,car,EAST,SOUTH
19106,6395,6537,72,car,WEST,SOUTH
19111,7128,7276,75,car,WEST,NORTH
19116,7558,7674,59,car,WEST,NORTH
19118,7452,7606,78,car,EAST,SOUTH
19119,7696,7832,69,car,EAST,SOUTH
19120,7877,8067,96,car,WEST,SOUTH
19129,8582,8742,81,car,EAST,NORTH
19130,8620,8786,84,car,EAST,NORTH
19131,8677,8841,83,car,EAST,NORTH
19137,9050,9280,116,car,EAST,SOUTH
19139,9139,9367,115,car,EAST,SOUTH
19144,9720,9904,93,car,WEST,NORTH
19151,9804,10078,138,car,EAST,SOUTH
19154,9929,10159,116,car,WEST,SOUTH
19164,10380,10552,87,car,WEST,SOUTH
19165,10544,10658,58,car,WEST,NORTH
19172,11068,11192,63,car,WEST,NORTH
19179,11794,11992,100,car,EAST,SOUTH
19181,11857,12445,295,car,EAST,NORTH
19184,12255,12481,114,car,EAST,SOUTH
19191,13077,13191,58,car,WEST,NORTH
19193,13174,13280,54,car,EAST,SOUTH
19200,14699,14823,63,car,WEST,NORTH
19213,15352,15554,102,car,EAST,SOUTH
19216,15550,15734,93,car,EAST,SOUTH
19218,15648,15966,160,car,EAST,NORTH
19227,16417,16675,130,car,WEST,SOUTH
19228,16591,16747,79,car,WEST,NORTH
19229,16495,16805,156,car,EAST,NORTH
19231,16567,16883,159,car,EAST,NORTH
19239,16730,16754,13,car,WEST,NORTH
19248,17347,17483,69,car,EAST,SOUTH
19257,17941,18139,100,car,EAST,SOUTH
19258,18011,18185,88,car,EAST,SOUTH
19259,18075,18261,94,car,EAST,SOUTH
19266,18850,18928,40,car,WEST,NORTH
19268,18944,19036,47,car,WEST,NORTH
19270,19252,19440,95,car,EAST,SOUTH
19279,19709,19875,84,car,EAST,SOUTH
19284,19778,19950,87,car,EAST,SOUTH
19285,19833,20023,96,car,EAST,SOUTH
19286,20151,20265,58,car,WEST,NORTH
19287,20218,20326,55,car,WEST,NORTH
19290,20372,20464,47,car,EAST,SOUTH
19292,20412,20504,47,car,EAST,SOUTH
19298,20664,20854,96,car,EAST,SOUTH
19301,20945,21071,64,car,EAST,SOUTH
19303,21096,21236,71,car,EAST,SOUTH
19306,21166,21302,69,car,EAST,SOUTH
19308,21350,21578,115,car,EAST,NORTH
19317,21844,22016,87,car,WEST,SOUTH
19324,22541,22663,62,car,WEST,NORTH
19326,22265,22421,79,car,EAST,SOUTH
19328,22335,22507,87,car,EAST,SOUTH
19332,22584,22754,86,car,EAST,SOUTH
19344,23334,23446,57,car,EAST,SOUTH
19348,23690,23856,84,car,WEST,SOUTH
19359,24273,24495,112,car,EAST,NORTH
19361,24447,24539,47,car,EAST,SOUTH
19027,1429,1555,64,bicycle,EAST,SOUTH
19062,3106,3222,59,bicycle,EAST,SOUTH
19065,3384,3618,118,bicycle,EAST,SOUTH
19076,4474,4616,72,bicycle,EAST,SOUTH
19080,4974,5222,125,bicycle,WEST,SOUTH
19087,5064,5194,66,bicycle,EAST,SOUTH
19097,5976,6098,62,bicycle,EAST,SOUTH
19100,6452,6572,61,bicycle,WEST,NORTH
19122,8167,8359,97,bicycle,WEST,SOUTH
19123,8141,8289,75,bicycle,EAST,SOUTH
19127,8296,8520,113,bicycle,EAST,NORTH
19134,8915,9085,86,bicycle,EAST,SOUTH
19136,8970,9134,83,bicycle,EAST,SOUTH
19142,9495,9633,70,bicycle,WEST,NORTH
