recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,uniqueTrackId,sceneId,roadWidth,class
30,147,10425,0,68.00569,-12.88157,196.69283,1.94348,4.04598,-6.60142,-1.73052,0.13444,-0.29112,6.8203,0.2386,-0.04515,-0.31747,30147,340,20.0,car
30,147,10427,2,67.47838,-13.0241,196.70217,1.94348,4.04598,-6.61649,-1.76275,0.20508,-0.28003,6.84396,0.21318,-0.11595,-0.32716,30147,340,20.0,car
30,147,10429,4,66.94529,-13.16737,196.68766,1.94348,4.04598,-6.62296,-1.79234,0.32844,-0.25241,6.85871,0.18496,-0.24212,-0.33609,30147,340,20.0,car
30,147,10431,6,66.40684,-13.31023,196.79414,1.94348,4.04598,-6.61154,-1.82011,0.49508,-0.20901,6.85544,0.16782,-0.41357,-0.34314,30147,340,20.0,car
30,147,10433,8,65.87399,-13.45767,197.05696,1.94348,4.04598,-6.5814,-1.84391,0.69277,-0.14872,6.83277,0.16767,-0.61868,-0.34538,30147,340,20.0,car
30,147,10435,10,65.33894,-13.60971,197.27364,1.94348,4.04598,-6.52755,-1.8603,0.91017,-0.07385,6.78553,0.16186,-0.84719,-0.34078,30147,340,20.0,car
30,147,10437,12,64.80972,-13.76029,197.46838,1.94348,4.04598,-6.44807,-1.86823,1.13118,0.01007,6.71151,0.1535,-1.08203,-0.32995,30147,340,20.0,car
30,147,10439,14,64.28832,-13.9091,197.60939,1.94348,4.04598,-6.34286,-1.86976,1.33917,0.10175,6.6113,0.13673,-1.3072,-0.30815,30147,340,20.0,car
30,147,10441,16,63.78098,-14.05964,197.68128,1.94348,4.04598,-6.2168,-1.86317,1.52105,0.20125,6.489,0.11302,-1.51031,-0.27024,30147,340,20.0,car
30,147,10443,18,63.28696,-14.21382,197.66496,1.94348,4.04598,-6.07494,-1.84483,1.67061,0.30455,6.3483,0.0856,-1.68425,-0.21676,30147,340,20.0,car
30,147,10445,20,62.80752,-14.36701,197.58318,1.94348,4.04598,-5.92192,-1.81294,1.786,0.40218,6.19292,0.06071,-1.82405,-0.15615,30147,340,20.0,car
30,147,10447,22,62.34185,-14.51556,197.46835,1.94348,4.04598,-5.76187,-1.76887,1.86911,0.48381,6.02713,0.0423,-1.92815,-0.09957,30147,340,20.0,car
30,147,10449,24,61.88925,-14.65481,197.35741,1.94348,4.04598,-5.59732,-1.71826,1.92301,0.5443,5.85504,0.02984,-1.99782,-0.05418,30147,340,20.0,car
30,147,10451,26,61.4506,-14.78665,197.25173,1.94348,4.04598,-5.43107,-1.66541,1.95132,0.58541,5.68064,0.02021,-2.03715,-0.01963,30147,340,20.0,car
30,147,10453,28,61.0254,-14.91429,197.22293,1.94348,4.04598,-5.26521,-1.61257,1.95836,0.61279,5.50658,0.01871,-2.05199,0.00546,30147,340,20.0,car
30,147,10455,30,60.61458,-15.04008,197.21105,1.94348,4.04598,-5.10212,-1.55927,1.94924,0.63118,5.33503,0.02023,-2.04872,0.02615,30147,340,20.0,car
30,147,10457,32,60.21458,-15.16089,197.2007,1.94348,4.04598,-4.94199,-1.50592,1.9293,0.64301,5.16629,0.02288,-2.03317,0.04372,30147,340,20.0,car
30,147,10459,34,59.82756,-15.2799,197.20903,1.94348,4.04598,-4.78525,-1.45154,1.90188,0.64963,5.00048,0.02921,-2.00893,0.05786,30147,340,20.0,car
30,147,10461,36,59.45233,-15.39492,197.22579,1.94348,4.04598,-4.63206,-1.39633,1.86991,0.6505,4.8378,0.03803,-1.97867,0.06757,30147,340,20.0,car
30,147,10463,38,59.0887,-15.50626,197.213,1.94348,4.04598,-4.48241,-1.33959,1.83563,0.6433,4.67807,0.04687,-1.94378,0.07128,30147,340,20.0,car
30,147,10465,40,58.73606,-15.61083,197.16971,1.94348,4.04598,-4.33569,-1.28357,1.80009,0.62625,4.52139,0.05354,-1.90474,0.06695,30147,340,20.0,car
30,147,10467,42,58.3946,-15.70967,197.12464,1.94348,4.04598,-4.19169,-1.23029,1.76332,0.60059,4.36812,0.0585,-1.86199,0.05475,30147,340,20.0,car
30,147,10469,44,58.06491,-15.80417,197.06987,1.94348,4.04598,-4.05053,-1.18072,1.72491,0.56911,4.21868,0.06028,-1.81598,0.03771,30147,340,20.0,car
30,147,10471,46,57.74638,-15.89565,196.99766,1.94348,4.04598,-3.91239,-1.13523,1.68466,0.53515,4.07335,0.05808,-1.76751,0.01929,30147,340,20.0,car
30,147,10473,48,57.43863,-15.98323,196.88594,1.94348,4.04598,-3.77753,-1.09313,1.64263,0.50028,3.93218,0.05125,-1.71712,0.00158,30147,340,20.0,car
30,147,10475,50,57.14193,-16.06806,196.77915,1.94348,4.04598,-3.64621,-1.05477,1.59887,0.46648,3.79547,0.04273,-1.66546,-0.01495,30147,340,20.0,car
30,147,10477,52,56.85613,-16.15181,196.68807,1.94348,4.04598,-3.51898,-1.01885,1.55409,0.43461,3.66335,0.03458,-1.61344,-0.02997,30147,340,20.0,car
30,147,10479,54,56.57938,-16.23007,196.64585,1.94348,4.04598,-3.3954,-0.98632,1.50903,0.40481,3.53564,0.02764,-1.56176,-0.04443,30147,340,20.0,car
30,147,10481,56,56.31258,-16.30684,196.65104,1.94348,4.04598,-3.27536,-0.95711,1.46356,0.37942,3.41227,0.02155,-1.51091,-0.05587,30147,340,20.0,car
30,147,10483,58,56.05526,-16.38069,196.6564,1.94348,4.04598,-3.15905,-0.93093,1.41775,0.36035,3.29333,0.01362,-1.46155,-0.06115,30147,340,20.0,car
30,147,10485,60,55.80707,-16.45667,196.64154,1.94348,4.04598,-3.04634,-0.90519,1.37155,0.34842,3.17797,0.00514,-1.41389,-0.05896,30147,340,20.0,car
30,147,10487,62,55.56821,-16.53008,196.62435,1.94348,4.04598,-2.93763,-0.8782,1.32519,0.33979,3.06609,-0.00105,-1.36701,-0.05354,30147,340,20.0,car
30,147,10489,64,55.33774,-16.59984,196.60942,1.94348,4.04598,-2.83289,-0.85118,1.27926,0.33176,2.95799,-0.00589,-1.32071,-0.04776,30147,340,20.0,car
30,147,10491,66,55.11497,-16.66636,196.6134,1.94348,4.04598,-2.73178,-0.82494,1.23408,0.32373,2.85361,-0.00945,-1.27512,-0.04263,30147,340,20.0,car
30,147,10493,68,54.90008,-16.73099,196.65702,1.94348,4.04598,-2.63402,-0.79978,1.18928,0.31651,2.75274,-0.0112,-1.2301,-0.03767,30147,340,20.0,car
30,147,10495,70,54.69258,-16.79381,196.71986,1.94348,4.04598,-2.5395,-0.77526,1.14433,0.31053,2.65518,-0.01189,-1.18529,-0.03182,30147,340,20.0,car
30,147,10497,72,54.4934,-16.85493,196.76269,1.94348,4.04598,-2.44859,-0.75111,1.09869,0.3058,2.56117,-0.013,-1.1402,-0.02406,30147,340,20.0,car
30,147,10499,74,54.30122,-16.91467,196.78556,1.94348,4.04598,-2.36153,-0.72731,1.05271,0.30251,2.47095,-0.01433,-1.09522,-0.01439,30147,340,20.0,car
30,147,10501,76,54.1161,-16.973,196.80206,1.94348,4.04598,-2.27846,-0.70263,1.00686,0.29915,2.3843,-0.01401,-1.05035,-0.00467,30147,340,20.0,car
30,147,10503,78,53.93782,-17.02946,196.81248,1.94348,4.04598,-2.19976,-0.67731,0.96221,0.2938,2.30164,-0.0121,-1.00606,0.00293,30147,340,20.0,car
