recordingId,frame,uniqueTrackId,sceneId,roadWidth,sceneX,sceneY,sceneXVelocity,sceneYVelocity,sceneXAcceleration,sceneYAcceleration
18,22288,18334,231,6.0,4.806932871978008,0.0977100634391097,0.35651193943099013,0.39584347543336507,-0.05543731429680232,0.036431671435199764
18,22290,18334,231,6.0,4.734120647901243,0.019209570924765496,0.3640611203838251,0.39250246257172106,-0.03774590476417483,0.016705064308220052
18,22292,18334,231,6.0,4.658372546196485,-0.05911880955208382,0.37874050852378716,0.39164190238424657,-0.07339694069981029,0.004302800937372453
18,22294,18334,231,6.0,4.581601059449396,-0.13642421248513092,0.38385743373544834,0.38652701466523554,-0.025584626058305915,0.02557443859505515
18,22296,18334,231,6.0,4.504493250783293,-0.2126582202684797,0.3855390433305139,0.38117003891674384,-0.008408047975327904,0.026784878742458496
18,22298,18334,231,6.0,4.425630224061538,-0.28689820960228984,0.39431513360877357,0.37119994666905076,-0.04388045139129826,0.04985046123846537
18,22300,18334,231,6.0,4.344592570372606,-0.36046270093195676,0.4051882684446628,0.3678224566483346,-0.054365674179446266,0.016887450103580948
18,22302,18334,231,6.0,4.261467667843664,-0.43386048209429107,0.41562451264471,0.36698890581167154,-0.05218122100023592,0.004167754183315164
18,22304,18334,231,6.0,4.1769351125878895,-0.5068462999079586,0.4226627762788704,0.36492908906833765,-0.0351913181708019,0.010299083716669433
18,22306,18334,231,6.0,4.091020921180723,-0.5795167107699639,0.4295709570358319,0.3633520543100266,-0.034540903784807675,0.007885173791555289
18,22308,18334,231,6.0,4.0031825755559,-0.6504271129539486,0.43919172812411755,0.3545520109199235,-0.048103855441428145,0.04400021695051548
18,22310,18334,231,6.0,3.9131098561590263,-0.7190334808832528,0.4503635969843667,0.34303183964652095,-0.05585934430124562,0.05760085636701273
18,22312,18334,231,6.0,3.821315380844795,-0.7858315190414571,0.4589723765711562,0.33399019079102144,-0.043043897933947584,0.04520824427749759
18,22314,18334,231,6.0,3.7262337612396066,-0.8509385272145792,0.4754080980259423,0.32553504086561047,-0.08217860727393056,0.042275749627054826
18,22316,18334,231,6.0,3.6307617535954955,-0.9138971180215736,0.4773600382205556,0.314792954034972,-0.009759700973066554,0.05371043415319243
