recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,uniqueTrackId,sceneId,roadWidth
30,14,928,0,5.22106,-10.13548,325.9337,0.0,0.0,1.57758,-1.05014,-0.06758,-0.03434,1.89509,-0.01376,-0.03675,0.0663,30014,340,20.0
30,14,930,2,5.3467,-10.21888,325.91213,0.0,0.0,1.57665,-1.05539,-0.07916,-0.03124,1.89726,-0.0096,-0.04804,0.07024,30014,340,20.0
30,14,932,4,5.47286,-10.30278,325.88042,0.0,0.0,1.57466,-1.06087,-0.09829,-0.02362,1.89868,-0.005,-0.06812,0.07469,30014,340,20.0
30,14,934,6,5.60006,-10.38765,325.8392,0.0,0.0,1.57016,-1.06591,-0.12438,-0.01075,1.89778,0.00033,-0.09688,0.07874,30014,340,20.0
30,14,936,8,5.72948,-10.47454,325.78913,0.0,0.0,1.56071,-1.06897,-0.15467,0.00701,1.89169,0.00651,-0.13185,0.08117,30014,340,20.0
30,14,938,10,5.86021,-10.56276,325.73089,0.0,0.0,1.54409,-1.06863,-0.18308,0.0274,1.87776,0.01367,-0.16673,0.08044,30014,340,20.0
30,14,940,12,5.987,-10.65017,325.66519,0.0,0.0,1.52135,-1.06479,-0.20212,0.0472,1.85683,0.02117,-0.19353,0.07502,30014,340,20.0
30,14,942,14,6.10833,-10.73608,325.59269,0.0,0.0,1.49633,-1.05846,-0.20785,0.06417,1.83265,0.02774,-0.20775,0.06451,30014,340,20.0
30,14,944,16,6.2253,-10.82156,325.51404,0.0,0.0,1.47227,-1.04998,-0.20049,0.07692,1.80804,0.03185,-0.20881,0.05011,30014,340,20.0
30,14,946,18,6.33964,-10.906,325.42979,0.0,0.0,1.45111,-1.03994,-0.18273,0.08424,1.78497,0.03294,-0.19826,0.03432,30014,340,20.0
30,14,948,20,6.45361,-10.99049,325.34041,0.0,0.0,1.43308,-1.02835,-0.15767,0.08484,1.76359,0.03087,-0.17793,0.01988,30014,340,20.0
30,14,950,22,6.56666,-11.07304,325.24622,0.0,0.0,1.41788,-1.01599,-0.12691,0.0769,1.74411,0.02648,-0.1481,0.00916,30014,340,20.0
30,14,952,24,6.67736,-11.1524,325.14748,0.0,0.0,1.40681,-1.00525,-0.09223,0.06033,1.72893,0.02099,-0.11016,0.0032,30014,340,20.0
30,14,954,26,6.78549,-11.22893,325.04437,0.0,0.0,1.4015,-0.99849,-0.05722,0.03781,1.72074,0.01538,-0.06856,0.0018,30014,340,20.0
30,14,956,28,6.89382,-11.30484,324.93703,0.0,0.0,1.40208,-0.99674,-0.02699,0.01406,1.72023,0.01039,-0.03017,0.00399,30014,340,20.0
30,14,958,30,7.004,-11.38148,324.82561,0.0,0.0,1.40697,-0.99956,-0.0058,-0.00616,1.72588,0.00653,-0.00119,0.00838,30014,340,20.0
30,14,960,32,7.11841,-11.46038,324.71023,0.0,0.0,1.41272,-1.0052,0.00506,-0.01954,1.73384,0.00434,0.01542,0.01302,30014,340,20.0
30,14,962,34,7.23492,-11.54079,324.59109,0.0,0.0,1.41661,-1.01206,0.00839,-0.02487,1.74099,0.00407,0.02125,0.01541,30014,340,20.0
30,14,964,36,7.35041,-11.62233,324.46838,0.0,0.0,1.41866,-1.01894,0.00805,-0.02212,1.74665,0.00475,0.01941,0.01333,30014,340,20.0
30,14,966,38,7.46388,-11.70473,324.34233,0.0,0.0,1.42023,-1.02494,0.00603,-0.0119,1.75144,0.00487,0.01183,0.00615,30014,340,20.0
30,14,968,40,7.57539,-11.78809,324.21313,0.0,0.0,1.42295,-1.0291,0.00155,0.00471,1.75608,0.00271,-0.0015,-0.00472,30014,340,20.0
30,14,970,42,7.68821,-11.87285,324.08094,0.0,0.0,1.42636,-1.03015,-0.00765,0.02568,1.75946,-0.0025,-0.02126,-0.01631,30014,340,20.0
30,14,972,44,7.80173,-11.95824,323.94583,0.0,0.0,1.4296,-1.0271,-0.02297,0.04771,1.76028,-0.01102,-0.04665,-0.02505,30014,340,20.0
30,14,974,46,7.91849,-12.04414,323.80781,0.0,0.0,1.4303,-1.01941,-0.04423,0.06662,1.75627,-0.02188,-0.07503,-0.02764,30014,340,20.0
30,14,976,48,8.03595,-12.12826,323.66687,0.0,0.0,1.42664,-1.00766,-0.06811,0.07769,1.7463,-0.03349,-0.1009,-0.02224,30014,340,20.0
30,14,978,50,8.15164,-12.20903,323.52299,0.0,0.0,1.41927,-0.99429,-0.09096,0.07796,1.73233,-0.04425,-0.11949,-0.00862,30014,340,20.0
30,14,980,52,8.26492,-12.28661,323.37622,0.0,0.0,1.40975,-0.982,-0.11107,0.06744,1.71725,-0.05287,-0.12937,0.01213,30014,340,20.0
30,14,982,54,8.37657,-12.36219,323.22672,0.0,0.0,1.39918,-0.97273,-0.12863,0.04851,1.70309,-0.05845,-0.13207,0.03814,30014,340,20.0
30,14,984,56,8.48764,-12.43688,323.07477,0.0,0.0,1.38768,-0.9674,-0.14445,0.02466,1.69053,-0.06032,-0.1303,0.06707,30014,340,20.0
30,14,986,58,8.59912,-12.51155,322.92083,0.0,0.0,1.37451,-0.96622,-0.15865,-0.00046,1.67914,-0.05786,-0.1263,0.09601,30014,340,20.0
30,14,988,60,8.71084,-12.58672,322.76555,0.0,0.0,1.35859,-0.96892,-0.16946,-0.02353,1.66794,-0.05063,-0.12069,0.12127,30014,340,20.0
30,14,990,62,8.82018,-12.66331,322.60976,0.0,0.0,1.34061,-0.97444,-0.17435,-0.04219,1.65686,-0.03987,-0.11291,0.1394,30014,340,20.0
30,14,992,64,8.92674,-12.7411,322.45445,0.0,0.0,1.32213,-0.98172,-0.17206,-0.05534,1.64652,-0.02732,-0.10269,0.14873,30014,340,20.0
30,14,994,66,9.03005,-12.82006,322.30071,0.0,0.0,1.30511,-0.98996,-0.16327,-0.06263,1.63802,-0.01481,-0.09088,0.1494,30014,340,20.0
30,14,996,68,9.13136,-12.90077,322.14969,0.0,0.0,1.2908,-0.99791,-0.15053,-0.06462,1.63156,-0.00407,-0.07921,0.14338,30014,340,20.0
30,14,998,70,9.23191,-12.98237,322.00251,0.0,0.0,1.27951,-1.00469,-0.13704,-0.063,1.62682,0.00404,-0.06921,0.13401,30014,340,20.0
30,14,1000,72,9.3338,-13.06491,321.86023,0.0,0.0,1.26983,-1.00991,-0.12496,-0.05981,1.62243,0.01008,-0.06135,0.12422,30014,340,20.0
30,14,1002,74,9.43613,-13.14778,321.72388,0.0,0.0,1.26024,-1.01327,-0.11389,-0.05756,1.61701,0.01479,-0.05375,0.11574,30014,340,20.0
30,14,1004,76,9.53694,-13.22943,321.59442,0.0,0.0,1.2511,-1.01579,-0.1027,-0.05821,1.61144,0.0188,-0.04432,0.10942,30014,340,20.0
30,14,1006,78,9.63635,-13.31008,321.4728,0.0,0.0,1.24295,-1.01883,-0.0911,-0.06195,1.60699,0.02283,-0.03268,0.10521,30014,340,20.0
30,14,1008,80,9.7343,-13.38983,321.35992,0.0,0.0,1.23658,-1.02354,-0.07988,-0.06742,1.605,0.02731,-0.0203,0.10254,30014,340,20.0
30,14,1010,82,9.83226,-13.46964,321.25667,0.0,0.0,1.23188,-1.03053,-0.07049,-0.07198,1.60575,0.03282,-0.00993,0.10025,30014,340,20.0
30,14,1012,84,9.93136,-13.55048,321.1639,0.0,0.0,1.22756,-1.03943,-0.06333,-0.07281,1.60802,0.03986,-0.00367,0.09643,30014,340,20.0
30,14,1014,86,10.031,-13.63325,321.08247,0.0,0.0,1.2226,-1.04911,-0.05714,-0.06793,1.6103,0.04822,-0.00178,0.08875,30014,340,20.0
30,14,1016,88,10.12954,-13.71742,321.01319,0.0,0.0,1.21716,-1.05836,-0.05003,-0.05668,1.61195,0.05689,-0.00322,0.07553,30014,340,20.0
30,14,1018,90,10.22581,-13.80234,320.95681,0.0,0.0,1.21269,-1.06663,-0.04145,-0.03896,1.61374,0.06454,-0.00765,0.05637,30014,340,20.0
30,14,1020,92,10.32036,-13.88844,320.91398,0.0,0.0,1.21054,-1.07302,-0.03307,-0.01497,1.61615,0.06965,-0.01623,0.03247,30014,340,20.0
30,14,1022,94,10.41604,-13.97621,320.88517,0.0,0.0,1.2102,-1.07618,-0.02734,0.01413,1.61791,0.0715,-0.03013,0.00628,30014,340,20.0
30,14,1024,96,10.51237,-14.06531,320.87068,0.0,0.0,1.21082,-1.07478,-0.02563,0.04564,1.61752,0.06962,-0.04868,-0.01923,30014,340,20.0
30,14,1026,98,10.6105,-14.15427,320.87064,0.0,0.0,1.21079,-1.06828,-0.0279,0.07562,1.6134,0.06459,-0.06937,-0.04105,30014,340,20.0
30,14,1028,100,10.70931,-14.24168,320.88496,0.0,0.0,1.20898,-1.0574,-0.03225,0.10028,1.60511,0.05769,-0.08828,-0.05746,30014,340,20.0
30,14,1030,102,10.80713,-14.32643,320.91346,0.0,0.0,1.20561,-1.04386,-0.03634,0.11724,1.59394,0.05011,-0.10213,-0.06809,30014,340,20.0
30,14,1032,104,10.9032,-14.4086,320.95581,0.0,0.0,1.20185,-1.02954,-0.03912,0.12621,1.58196,0.04253,-0.10989,-0.07338,30014,340,20.0
30,14,1034,106,10.99859,-14.48862,321.01164,0.0,0.0,1.19841,-1.01601,-0.04107,0.12865,1.57073,0.03572,-0.11287,-0.07416,30014,340,20.0
30,14,1036,108,11.094,-14.56718,321.08051,0.0,0.0,1.19516,-1.0041,-0.04288,0.12707,1.56067,0.03039,-0.11319,-0.07192,30014,340,20.0
30,14,1038,110,11.19027,-14.64524,321.16196,0.0,0.0,1.19134,-0.99401,-0.04457,0.12426,1.55133,0.02714,-0.11264,-0.06884,30014,340,20.0
30,14,1040,112,11.28733,-14.72347,321.25553,0.0,0.0,1.18607,-0.98503,-0.04469,0.12227,1.54155,0.02597,-0.11138,-0.0674,30014,340,20.0
30,14,1042,114,11.38323,-14.80197,321.36077,0.0,0.0,1.17966,-0.97631,-0.04107,0.12192,1.53105,0.02599,-0.10821,-0.06959,30014,340,20.0
30,14,1044,116,11.47681,-14.88016,321.47721,0.0,0.0,1.17374,-0.96728,-0.03276,0.12303,1.52073,0.02573,-0.10226,-0.07585,30014,340,20.0
30,14,1046,118,11.56852,-14.95757,321.60434,0.0,0.0,1.16996,-0.95769,-0.02103,0.12491,1.51176,0.02393,-0.09406,-0.08483,30014,340,20.0
30,14,1048,120,11.65949,-15.03444,321.74157,0.0,0.0,1.16915,-0.9476,-0.00866,0.12705,1.50481,0.02013,-0.08547,-0.0944,30014,340,20.0
30,14,1050,122,11.75129,-15.11124,321.88822,0.0,0.0,1.17094,-0.93629,0.00129,0.12829,1.49918,0.01398,-0.07816,-0.10174,30014,340,20.0
30,14,1052,124,11.84593,-15.18814,322.0435,0.0,0.0,1.17337,-0.92326,0.00743,0.12654,1.49304,0.00628,-0.07197,-0.10434,30014,340,20.0
30,14,1054,126,11.94354,-15.26433,322.20659,0.0,0.0,1.17359,-0.90816,0.01206,0.11845,1.48393,-0.00155,-0.06306,-0.10099,30014,340,20.0
