recordingId,frame,uniqueTrackId,sceneId,roadWidth,sceneX,sceneY,sceneXVelocity,sceneYVelocity,sceneXAcceleration,sceneYAcceleration
7,7054,7060,130,6,-3.615782707,-2.900628684,0.379625811,-0.5033531,-0.024623207,-0.039088971
7,7056,7060,130,6,-3.694775746,-2.800484402,0.394965195,-0.500721407,-0.076696918,-0.013158466
7,7058,7060,130,6,-3.776427556,-2.700117105,0.408259051,-0.501836487,-0.066469278,0.005575403
7,7060,7060,130,6,-3.85741093,-2.598803608,0.404916872,-0.506567485,0.016710895,0.023654989
7,7062,7060,130,6,-3.936270088,-2.496203176,0.394295786,-0.51300216,0.053105429,0.032173372
7,7064,7060,130,6,-4.012765707,-2.393868621,0.382478099,-0.511672773,0.059088436,-0.006646933
7,7066,7060,130,6,-4.087422846,-2.290339083,0.373285693,-0.517647693,0.04596203,0.029874601
7,7068,7060,130,6,-4.16113666,-2.183251576,0.368569069,-0.535437535,0.023583116,0.088949208
7,7070,7060,130,6,-4.232459725,-2.0749702,0.356615329,-0.54140688,0.059768703,0.029846727
7,7072,7060,130,6,-4.301076632,-1.965861719,0.343084533,-0.545542405,0.067653979,0.020677625
7,7074,7060,130,6,-4.367693906,-1.855380404,0.333086372,-0.552406572,0.049990802,0.034320835
7,7076,7060,130,6,-4.433072665,-1.743740738,0.326893792,-0.558198329,0.030962904,0.028958782
7,7078,7060,130,6,-4.498563032,-1.632134889,0.327451834,-0.558029248,-0.002790213,-0.000845405
7,7080,7060,130,6,-4.564786927,-1.521159861,0.331119475,-0.554875137,-0.018338204,-0.015770551
7,7082,7060,130,6,-4.632081053,-1.410591534,0.336470633,-0.55284164,-0.026755787,-0.01016749
7,7084,7060,130,6,-4.700456996,-1.300338441,0.341879715,-0.551265465,-0.027045413,-0.007880873
7,7086,7060,130,6,-4.773173559,-1.189350486,0.363582813,-0.554939772,-0.108515491,0.018371534
7,7088,7060,130,6,-4.851018992,-1.077291277,0.389227166,-0.560296045,-0.128221765,0.026781366
7,7090,7060,130,6,-4.929144176,-0.964870627,0.390625919,-0.56210325,-0.006993765,0.009036025
7,7092,7060,130,6,-5.005645093,-0.853948729,0.382504584,-0.554609492,0.040606675,-0.037468793
7,7094,7060,130,6,-5.081044854,-0.744254005,0.376998807,-0.54847362,0.027528887,-0.030679356
